tbl,idx,stat
single_mode_difficulty_data,single_mode_difficulty_data_0_difficulty_id_1_difficulty_index,13 4 1
single_mode_difficulty_data,sqlite_autoindex_single_mode_difficulty_data_1,13 4 1
single_mode_rank,,298
gacha_stampsheet,gacha_stampsheet_0_gacha_id,12 4
collect_raid_individual_reward,collect_raid_individual_reward_0_individual_reward_set_id,32 8
audio_ignored_cue_on_highspeed,audio_ignored_cue_on_highspeed_0_cue_name_1_cue_sheet,7 1 1
team_building_collection_chara,team_building_collection_chara_0_team_building_event_id,711 89
team_building_collection_chara,team_building_collection_chara_0_chara_id,711 7
single_mode_cook_garden_effect,single_mode_cook_garden_effect_0_effect_group_id,105 5
single_mode_arc_potential_cond,single_mode_arc_potential_cond_0_potential_id,13 2
single_mode_free_win_point,single_mode_free_win_point_0_grade_1_order_min,66 7 2
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id_1_order_min,66 17 3
single_mode_free_win_point,single_mode_free_win_point_0_grade,66 7
single_mode_free_win_point,single_mode_free_win_point_0_race_group_id,66 17
single_mode_analyze_message,single_mode_analyze_message_0_popularity,58 4
single_mode_training_effect,single_mode_training_effect_0_command_id_1_result_state,830 19 17
race_jikkyo_comment,race_jikkyo_comment_0_message_group,384 384
race_jikkyo_comment,race_jikkyo_comment_0_group_id,384 2
card_talent_level_upgrade_item,card_talent_level_upgrade_item_0_talent_group_id_1_talent_level_2_upgrade_talent_level,2602 11 3 1
card_talent_level_upgrade_item,card_talent_level_upgrade_item_0_talent_group_id,2602 11
support_card_team_score_bonus,support_card_team_score_bonus_0_rarity_1_limit_break_count,15 5 1
support_card_level,support_card_level_0_rarity,135 45
support_card_level,sqlite_autoindex_support_card_level_1,135 45 1
single_mode_event_choice_reward,,58
single_mode_reward_set,single_mode_reward_set_0_reward_set_id,637 10
race_bib_color,sqlite_autoindex_race_bib_color_1,92 16 1
character_prop_system_text,,1
factor_research_box_reward,factor_research_box_reward_0_box_id,323 15
single_mode_09_link_effect,single_mode_09_link_effect_0_chara_id,13 3
single_mode_race_restrict_turn,single_mode_race_restrict_turn_0_chara_id,26 2
single_mode_race_restrict_turn,sqlite_autoindex_single_mode_race_restrict_turn_1,26 2 1 1
single_mode_change_chara_route,single_mode_change_chara_route_0_route_race_group_id_1_chara_id,131 131 1
race_proper_distance_rate,,9
champions_bgm,champions_bgm_0_round_id_1_scene_type_2_race_number,55 10 3 1
audio_cuesheet,audio_cuesheet_0_attribute,12 2
single_mode_14_basic_effect,single_mode_14_basic_effect_0_check_point_type,15 5
single_mode_12_dig_power,single_mode_12_dig_power_0_stratum_type,72 24
single_mode_cook_dish_cutt,single_mode_cook_dish_cutt_0_command_group_id_1_material_group_id,55 3 3
single_mode_cook_dish_cutt,single_mode_cook_dish_cutt_0_cutt_id,55 3
single_mode_cook_dish_cutt,single_mode_cook_dish_cutt_0_material_group_id,55 4
single_mode_cook_dish_cutt,single_mode_cook_dish_cutt_0_command_group_id,55 3
single_mode_sport_competition,single_mode_sport_competition_0_turn,5 1
single_mode_sport_competition,single_mode_sport_competition_0_compe_type,5 1
single_mode_event_item_detail,single_mode_event_item_detail_0_event_category_id_1_item_id,20 2 1
audience_data,,176
mob_dress_color_set,,1102
champions_entry_reward,champions_entry_reward_0_champions_id,2 2
champions_entry_reward,sqlite_autoindex_champions_entry_reward_1,2 2 1
support_card_effect_filter,support_card_effect_filter_0_group_id,26 7
campaign_walking_friend,campaign_walking_friend_0_friend_list_id,6 2
single_mode_venus_crystal_group,single_mode_venus_crystal_group_0_chara_id,15 5
heroes_league_score,,12
character_system_lottery,character_system_lottery_0_trigger_1_param1,11462 52 2
character_system_lottery,character_system_lottery_0_chara_id_1_trigger,11462 84 4
character_system_lottery,character_system_lottery_0_chara_id,11462 84
training_report_pass,training_report_pass_0_season_id,30 1
factor_research_top,factor_research_top_0_factor_research_event_id_1_ending_flag,50 3 2
team_building_data,,8
transfer_rotation_data,,40
single_mode_13_team_sp_effect,single_mode_13_team_sp_effect_0_effect_group,85 4
single_mode_13_team_sp_effect,single_mode_13_team_sp_effect_0_group_type_1_effect_group,85 22 4
single_mode_13_team_sp_effect,single_mode_13_team_sp_effect_0_group_type,85 22
succession_factor,succession_factor_0_factor_group_id_1_rarity,2517 3 1
succession_factor,succession_factor_0_factor_group_id,2517 3
race_bgm_pattern,,74
race_env_define,race_env_define_0_race_track_id,1361 81
login_bonus_chara,login_bonus_chara_0_login_bonus_detail_id,13 1
gacha_data,gacha_data_0_type,670 67
daily_race_billing,,1
card_rarity_data,card_rarity_data_0_card_id_1_rarity,805 4 1
card_rarity_data,card_rarity_data_0_race_dress_id,805 4
card_rarity_data,card_rarity_data_0_card_id,805 4
campaign_data,campaign_data_0_open_flag_id,975 140
campaign_data,campaign_data_0_image_change,975 488
campaign_data,campaign_data_0_target_type,975 65
crane_game_prize_face,,3
single_mode_cook_cooking_cutt,single_mode_cook_cooking_cutt_0_cooking_num,59 20
race_course_set_status,,12
legend_race_billing,,1
gacha_piece,gacha_piece_0_rarity,3 1
support_card_effect_table,support_card_effect_table_0_id,4931 10
support_card_effect_table,sqlite_autoindex_support_card_effect_table_1,4931 10 1
campaign_target_scenario,campaign_target_scenario_0_target_id,1 1
campaign_story_data,campaign_story_data_0_campaign_id,16 4
single_mode_14_feeling_bonus,,4
omakase_stop_trigger,omakase_stop_trigger_0_scenario_id,18 3
single_mode_cook_motion_status,single_mode_cook_motion_status_0_turn_progress_1_garden_progress,14 4 1
single_mode_cook_garden_bg,single_mode_cook_garden_bg_0_bg_id,40 40
single_mode_cook_garden_bg,single_mode_cook_garden_bg_0_month_1_half_type,40 4 4
single_mode_free_coin_race,single_mode_free_coin_race_0_grade_1_order_min,36 4 1
single_mode_free_coin_race,single_mode_free_coin_race_0_grade,36 4
single_mode_audience_overwrite,,11
race_single_mode_team_status,,6
live_data,sqlite_autoindex_live_data_1,203 1
legend_race_npc,,2087
heroes_skill_motion,,8
face_type_data,sqlite_autoindex_face_type_data_1,124 1
map_event_story_data,map_event_story_data_0_event_id,2 2
campaign_present_bonus_detail,campaign_present_bonus_detail_0_card_id,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_2,68 1
campaign_present_bonus_detail,sqlite_autoindex_campaign_present_bonus_detail_1,68 68 1
transfer_rotation_reward,transfer_rotation_reward_0_rotation_id,520 5
main_story_race_data,,40
chara_story_data,chara_story_data_0_chara_id,917 7
chara_story_data,chara_story_data_0_chara_id_1_episode_index,917 7 1
chara_story_data,chara_story_data_0_story_id,917 1
omakase_hide_skill,,75
single_mode_cook_garden_level,single_mode_cook_garden_level_0_facility_id_1_garden_lv,25 5 2
single_mode_cook_garden_level,single_mode_cook_garden_level_0_garden_lv,25 9
single_mode_cook_garden_level,single_mode_cook_garden_level_0_facility_id,25 5
single_mode_difficulty_box_gauge,single_mode_difficulty_box_gauge_0_difficulty_id,16 8
announce_event,,52
support_card_unique_effect,,399
training_report_normal_reward,training_report_normal_reward_0_reward_set,901 226
factor_research_box,factor_research_box_0_factor_research_event_id,22 1
factor_research_animation_data,factor_research_animation_data_0_special_event_type_1_prise_type,7 4 2
event_motion_plus_data,event_motion_plus_data_0_layer_index,153 77
event_motion_plus_data,event_motion_plus_data_0_base_state_name,153 1
single_mode_sport_training_cut,single_mode_sport_training_cut_0_command_id_1_training_level,75 5 1
single_mode_event_conclusion,sqlite_autoindex_single_mode_event_conclusion_1,524 131 1
single_mode_rival,single_mode_rival_0_race_program_id,6879 30
single_mode_rival,sqlite_autoindex_single_mode_rival_1,6879 53 3 2 1 1 1
home_walk_group,,153
support_card_effect_filter_group,,4
factor_research_data,,22
training_challenge_ranking_border,training_challenge_ranking_border_0_training_challenge_master_id,8 4
story_live_position,story_live_position_0_music_id,346 11
story_live_position,story_live_position_0_set_id,346 11
single_mode_13_rank,single_mode_13_rank_0_rank_id,17 1
single_mode_12_schedule,,3
omakase_condition_set_onsen,omakase_condition_set_onsen_0_id_1_condition_type,5 1 1
omakase_scenario,,6
single_mode_11_shima_effect,single_mode_11_shima_effect_0_command_id,64 11
single_mode_member_rank_points,single_mode_member_rank_points_0_rank_id,12 1
gacha_item_exchange,gacha_item_exchange_0_gacha_id,6 1
gacha_item_exchange,sqlite_autoindex_gacha_item_exchange_1,6 1 1
gacha_available,gacha_available_0_gacha_id,109443 172
gacha_available,sqlite_autoindex_gacha_available_1,109443 172 1
support_card_limit,,3
chara_data_group,chara_data_group_0_chara_id,3 1
chara_data_group,chara_data_group_0_group_id,3 3
campaign_single_race_add_data,campaign_single_race_add_data_0_race_additional_id,112 1
single_mode_14_check_point_effect,single_mode_14_check_point_effect_0_check_point_type_1_result_state,21 7 3
single_mode_14_region_select,,3
single_mode_arc_taiman_peff_grp,,12
single_mode_team_name,,4
single_mode_event_cr_priority,single_mode_event_cr_priority_0_display_id,81 2
single_mode_difficulty_mode,,4
single_mode_race_unique_condition,single_mode_race_unique_condition_0_chara_id,186 4
live_extra_data,live_extra_data_0_music_id,1 1
heroes_lottery_message,heroes_lottery_message_0_view_type,19 4
skill_up_scenario_condition,skill_up_scenario_condition_0_scenario_id,12 6
background_data,background_data_0_bg_id_1_bg_sub,903 3 1
single_mode_12_dig_item,single_mode_12_dig_item_0_item_id_1_item_level,18 6 1
single_mode_12_dig_item,single_mode_12_dig_item_0_item_id,18 6
single_mode_story_root,single_mode_story_root_0_condition_story_id_3,36 36
single_mode_story_root,single_mode_story_root_0_condition_story_id_2,36 36
single_mode_story_root,single_mode_story_root_0_condition_story_id_1,36 9
single_mode_story_root,single_mode_story_root_0_story_id,36 1
idle_single_mode_training_cut,idle_single_mode_training_cut_0_scenario_id,20 10
need_piece_num_data,need_piece_num_data_0_rarity,3 1
training_challenge_score,training_challenge_score_0_score_group_id,2532 32
training_challenge_master,,13
challenge_match_race,challenge_match_race_0_race_instance_id,42 1
challenge_match_race,challenge_match_race_0_challenge_match_id,42 6
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_support_card_id,20 7
story_event_bonus_group_support_card,story_event_bonus_group_support_card_0_story_event_id,20 2
story_event_bonus_group_support_card,sqlite_autoindex_story_event_bonus_group_support_card_1,20 2 2 1
single_mode_14_twinkle_ramen,,347
single_mode_14_region_effect,single_mode_14_region_effect_0_region_id,98 5
single_mode_12_outing_effect,single_mode_12_outing_effect_0_chara_id_1_story_step,15 15 3
single_mode_scenario,,14
succession_factor_effect,succession_factor_effect_0_target_type,6508 272
succession_factor_effect,succession_factor_effect_0_factor_group_id_1_effect_id,6508 8 2
succession_factor_effect,succession_factor_effect_0_factor_group_id,6508 8
legend_race,legend_race_0_legend_race_boss_npc_id,124 1
legend_race,legend_race_0_race_instance_id,124 1
legend_race,legend_race_0_group_id,124 1
collect_raid_message,collect_raid_message_0_collect_raid_id,437 437
skill_upgrade_description,skill_upgrade_description_0_card_id_1_rank,599 3 2
skill_upgrade_description,skill_upgrade_description_0_card_id,599 3
skill_upgrade_description,sqlite_autoindex_skill_upgrade_description_1,599 3 1
rental_deck_alt,rental_deck_alt_0_support_card_id,34 1
story_extra_movie_data,,4
single_mode_12_factor_bonus,single_mode_12_factor_bonus_0_stratum_type,9 3
single_mode_sport_compe_effect,single_mode_sport_compe_effect_0_sport_type,15 5
single_mode_venus_sprace_data,single_mode_venus_sprace_data_0_race_group_id,3 1
single_mode_free_shop_effect,single_mode_free_shop_effect_0_effect_group_id,64 2
succession_relation,,3037
audience_impostor_lottery,audience_impostor_lottery_0_group_id_1_pattern,528 22 8
home_story_trigger,home_story_trigger_0_home_event_type,1431 477
home_story_trigger,home_story_trigger_0_gallery_chara_id,1431 9
home_story_trigger,home_story_trigger_0_pos_id,1431 120
home_story_trigger,home_story_trigger_0_home_event_type_1_story_id,1431 477 2
home_story_trigger,sqlite_autoindex_home_story_trigger_1,1431 9 1
heroes_ranking_border,,8
heroes_final_stage_race,,24
chara_dress_color_set_default,chara_dress_color_set_default_0_chara_id,1 1
skill_upgrade_speciality,skill_upgrade_speciality_0_base_skill_id,47 2
skill_upgrade_speciality,skill_upgrade_speciality_0_scenario_id,47 6
skill_upgrade_speciality,sqlite_autoindex_skill_upgrade_speciality_1,47 6 1
chara_type_event_cut,chara_type_event_cut_0_event_category_1_event_id,20 20 20
deck_recommend_lv_correction,,1
campaign_swap_motion_data,campaign_swap_motion_data_0_dress_id,101 3
campaign_cutt_data,campaign_cutt_data_0_chara_id,1849 15
campaign_cutt_data,campaign_cutt_data_0_campaign_id,1849 370
campaign_cutt_data,campaign_cutt_data_0_cut_id_1_cut_sub_id,1849 265 124
story_still,story_still_0_still_id,170 2
omakase_filter_detail,omakase_filter_detail_0_filter_id,73 1
omakase_modify,omakase_modify_0_scenario_id,21 4
single_mode_11_outing_effect,,4
single_mode_10_buff,single_mode_10_buff_0_legend_id,57 19
single_mode_10_buff,single_mode_10_buff_0_buff_id,57 1
single_mode_cook_dish,,35
single_mode_skill_need_point,,1129
race_overrun_pattern,,5
login_bonus_data,login_bonus_data_0_bg_id,244 28
login_bonus_data,login_bonus_data_0_group_id,244 82
login_bonus_data,login_bonus_data_0_type,244 49
exchange_ticket_detail,exchange_ticket_detail_0_card_type,444 222
item_data,item_data_0_group_id,785 262
item_data,item_data_0_item_category,785 18
home_walk_path_restriction,home_walk_path_restriction_0_route,3 2
jukebox_setlist_music_data,jukebox_setlist_music_data_0_setlist_id,420 27
short_episode,short_episode_0_scene,11 2
champions_news_race,champions_news_race_0_round_id,211 43
chara_dress_color_set,chara_dress_color_set_0_dress_id,56 8
support_card_limit_break,support_card_limit_break_0_rarity,2 1
skill_data,skill_data_0_group_id,2099 2
team_building_sp_race_schedule,team_building_sp_race_schedule_0_event_id,40 8
single_mode_venus_spirit_group,,18
single_mode_preview_bgm,single_mode_preview_bgm_0_scenario_id_1_preview_order,29 3 1
single_mode_preview_bgm,single_mode_preview_bgm_0_scenario_id,29 3
single_mode_race_group,single_mode_race_group_0_race_program_id,1112 1
single_mode_race_group,single_mode_race_group_0_race_group_id,1112 2
announce_support_card,,127
champions_news_win_title,,580
character_prop_animation,character_prop_animation_0_prop_id_1_scene_type,21 4 2
skill_upgrade_condition,skill_upgrade_condition_0_description_id,1786 3
skill_upgrade_condition,sqlite_autoindex_skill_upgrade_condition_1,1786 3 2 1
team_building_team_race_set,team_building_team_race_set_0_npc_group_id,46 1
team_building_retry_bonus,,5
team_building_rank,team_building_rank_0_team_rank,30 1
constant_walking_data,constant_walking_data_0_campaign_id,4 1
background_offset_data,background_offset_data_0_bg_id_1_bg_sub,664 3 2
background_offset_data,sqlite_autoindex_background_offset_data_1,664 3 2 1
single_mode_14_region_effect_bonus,,180
omakase_default_plan,omakase_default_plan_0_scenario_id,18 3
single_mode_story_data,single_mode_story_data_0_short_story_id,19943 6
single_mode_story_data,single_mode_story_data_0_gallery_main_scenario,19943 1330
single_mode_story_data,single_mode_story_data_0_support_chara_id,19943 140
single_mode_story_data,single_mode_story_data_0_support_card_id,19943 50
single_mode_story_data,single_mode_story_data_0_card_chara_id,19943 152
single_mode_story_data,single_mode_story_data_0_card_id,19943 77
single_mode_story_data,single_mode_story_data_0_story_id,19943 2
rating_race_reward_group,,173
race_motivation_rate,,5
jukebox_setlist_singer_data,jukebox_setlist_singer_data_0_setlist_music_id,3147 8
champions_news_title,champions_news_title_0_round_id,467 94
chara_motion_set,,10149
team_stadium_stand_motion,team_stadium_stand_motion_0_character_id_1_type,14 5 5
omakase_continue_condition,omakase_continue_condition_0_condition_type_1_scenario_id,13 5 1
omakase_continue_condition,omakase_continue_condition_0_scenario_id,13 3
single_mode_cook_cooking_type,single_mode_cook_cooking_type_0_cooking_motion_id_1_swap_type,42 3 1
single_mode_cook_cooking_type,single_mode_cook_cooking_type_0_cooking_motion_id,42 3
single_mode_tag_card_pos,single_mode_tag_card_pos_0_support_card_id,7890 15
single_mode_outing,single_mode_outing_0_command_group_id,5 1
race,race_0_group,2905 153
race,race_0_course_set,2905 24
mission_data,mission_data_0_item_category,8509 341
mission_data,mission_data_0_mission_type,8509 501
skill_exp,skill_exp_0_type,10 10
campaign_rental_support_data,,1
mini_mob,,12
mini_mouth_type,,32
tutorial_guide_data,tutorial_guide_data_0_group_id_1_page_index,368 3 1
tutorial_guide_data,tutorial_guide_data_0_group_id,368 3
transfer_event_reward,transfer_event_reward_0_transfer_detail_id,478 3
omakase_default_plan_set,omakase_default_plan_set_0_plan_set_id,126 7
single_mode_arc_potential,,10
audience_impostor,audience_impostor_0_season_1_weather,192 39 12
mob_hair_color_set,,348
heroes_special_reward,,13
dress_data,dress_data_0_chara_id_1_costume_type,501 3 2
dress_data,dress_data_0_body_type,501 15
dress_data,dress_data_0_condition_type,501 84
dress_data,dress_data_0_chara_id,501 3
crane_game_prop,,2
season_data,season_data_0_type,28 6
single_mode_14_finals_effect,single_mode_14_finals_effect_0_select_type,19 5
single_mode_13_add_dream_point,single_mode_13_add_dream_point_0_deck_id_1_condition_type_2_condition_value,18 6 3 1
single_mode_chara_effect_buff,single_mode_chara_effect_buff_0_chara_id,6 1
single_mode_fan_count,single_mode_fan_count_0_fan_set_id_1_order,1084 18 1
single_mode_fan_count,single_mode_fan_count_0_fan_set_id,1084 18
heroes_skill_item,,7
champions_race_condition,sqlite_autoindex_champions_race_condition_1,322 7 1
skill_level_value,skill_level_value_0_ability_type,311 10
jobs_limited_schedule,,5
single_mode_12_effect_category,,21
single_mode_arc_potential_level,single_mode_arc_potential_level_0_potential_id,18 2
single_mode_aoharu_schedule,,5
daily_pack,daily_pack_0_group_id,9 9
daily_pack,sqlite_autoindex_daily_pack_1,9 3 1
rating_race_finale_reward,,108
collect_raid_top_random_chara_group,collect_raid_top_random_chara_group_0_group_id,20 7
champions_reward_rate,champions_reward_rate_0_champions_id_1_round_id,2208 48 10
chara_category_motion,,131
love_rank,love_rank_0_rank,13 1
facial_mouth_change,facial_mouth_change_0_chara_id,14 1
facial_mouth_change,facial_mouth_change_0_chara_id_1_before_facialname,14 1 1
team_building_chara_count,,10
campaign_chara_story_schedule,campaign_chara_story_schedule_0_campaign_id,3348 11
campaign_chara_story_schedule,campaign_chara_story_schedule_0_chara_id,3348 27
story_wipe_dictionary,story_wipe_dictionary_0_wipe_id_1_sub_id,86 2 2
story_wipe_dictionary,sqlite_autoindex_story_wipe_dictionary_1,86 2 2 1 1 1
single_mode_13_team_rank,single_mode_13_team_rank_0_rank_group,51 3
single_mode_12_onsen,,10
single_mode_cook_success_type,single_mode_cook_success_type_0_success_motion_id,4 1
single_mode_unique_chara,single_mode_unique_chara_0_chara_id_1_scenario_id,181 14 1
single_mode_unique_chara,single_mode_unique_chara_0_partner_id_1_scenario_id,181 14 1
single_mode_route_announce,single_mode_route_announce_0_route_race_type_1_route_race_id,20 10 1
audience_hair_color_set,,210
skill_set,,5577
training_report_inflation,,61
campaign_rental_support_card,campaign_rental_support_card_0_campaign_rental_support_data_id,15 15
single_mode_cook_material_rate,single_mode_cook_material_rate_0_material_count_1_boost_type,8 2 1
single_mode_sport_link,single_mode_sport_link_0_command_id,150 10
single_mode_sport_mob,,600
single_mode_sport_stance,single_mode_sport_stance_0_sport_type,30 10
single_mode_message,,34
jukebox_comment,jukebox_comment_0_chara_id_1_comment_type,486 4 2
jukebox_comment,jukebox_comment_0_comment_id,486 1
card_talent_hint_upgrade,card_talent_hint_upgrade_0_card_id_1_rarity_2_talent_level,14 5 3 1
card_talent_hint_upgrade,card_talent_hint_upgrade_0_rarity_1_talent_level,14 7 2
available_skill_set,available_skill_set_0_available_skill_set_id,1810 8
