tbl,idx,stat
single_mode_turn,single_mode_turn_0_turn_set_id_1_turn,1066 77 1
single_mode_turn,single_mode_turn_0_turn_set_id,1066 77
single_mode_top_bg_chara,single_mode_top_bg_chara_0_scenario_id,21 11
single_mode_top_bg_chara,single_mode_top_bg_chara_0_bg_id_1_scenario_id,21 11 11
rating_race_rating_rank,,10
race_jikkyo_trigger,,2432
home_env_setting,home_env_setting_0_home_set_id_1_home_event_type_2_season_3_weather_4_timezone,168 168 12 7 4 1
heroes_gauge,,8
team_building_scout_point,team_building_scout_point_0_chara_rank,298 1
team_building_collection_set,team_building_collection_set_0_team_building_event_id,38 5
campaign_walking_chara,campaign_walking_chara_0_chara_id_1_campaign_id,590 5 1
campaign_walking_chara,campaign_walking_chara_0_chara_id,590 5
campaign_walking_chara,campaign_walking_chara_0_campaign_id,590 118
campaign_walking_chara,sqlite_autoindex_campaign_walking_chara_1,590 118 1
team_stadium_race_result_motion,team_stadium_race_result_motion_0_character_id,136 1
single_mode_10_staging_sound,single_mode_10_staging_sound_0_staging_type,19 10
single_mode_09_schedule,,5
single_mode_route_condition,single_mode_route_condition_0_condition_set_id,16 2
generate_succession_trained_chara_trade_item,,1
crane_game_extra_odds_condition,,1
training_cutt_data,training_cutt_data_0_command_id_1_sub_id,145 5 5
timezone_data,,4
story_event_bingo_reward,story_event_bingo_reward_0_reward_set_id,856 8
story_event_bingo_reward,sqlite_autoindex_story_event_bingo_reward_1,856 8 1
single_mode_10_buff_effect,single_mode_10_buff_effect_0_effect_group_id,56 2
single_mode_cook_dish_effect,single_mode_cook_dish_effect_0_effect_group_id,69 3
heroes_race_default_npc,,159
gacha_free_campaign,,70
team_building_consecutive_wins,,10
story_event_data,,54
single_mode_select_skip,,9
race_proper_ground_rate,,9
select_pickup,select_pickup_0_gacha_id,1729 40
select_pickup,sqlite_autoindex_select_pickup_1,1729 40 1
daily_legend_race,daily_legend_race_0_race_instance_id,98 1
daily_legend_race,daily_legend_race_0_group_id,98 1
race_sp_rule_data,,2
team_stadium,,1
mini_motion_set,mini_motion_set_0_id,443 1
mini_motion_set,sqlite_autoindex_mini_motion_set_1,443 1
story_event_nickname_bonus,story_event_nickname_bonus_0_story_event_id,162 3
story_event_nickname_bonus,sqlite_autoindex_story_event_nickname_bonus_1,162 3 1
story_event_bonus_support_card,story_event_bonus_support_card_0_story_event_id,945 18
story_event_bonus_support_card,sqlite_autoindex_story_event_bonus_support_card_1,945 18 4 2 1
story_extra_data,,13
single_mode_11_planning,single_mode_11_planning_0_deck_id,20 5
single_mode_09_progress_rate,,3
single_mode_09_chip_effect,single_mode_09_chip_effect_0_chip_id,70 6
single_mode_live_live_data,,5
single_mode_program,single_mode_program_0_race_instance_id,1118 1
single_mode_program,single_mode_program_0_program_group,1118 12
item_pack,item_pack_0_item_pack_id,169 4
heroes_race_mob_npc,,100
daily_race_npc,,220
race_sp_rule_schedule,race_sp_rule_schedule_0_event_category_1_event_id,4 4 1
factor_research_factor_upgrade,factor_research_factor_upgrade_0_factor_type,14 2
map_event_area_data,map_event_area_data_0_event_id,4 4
training_cutt_group_data,training_cutt_group_data_0_group_id,7 4
training_cutt_group_data,sqlite_autoindex_training_cutt_group_data_1,7 4 1
single_mode_14_special_gain_turn,,11
single_mode_11_facility_lv_up,single_mode_11_facility_lv_up_0_facility_id_1_current_state_id_2_target_state_id,43 8 2 1
single_mode_11_facility_lv_up,single_mode_11_facility_lv_up_0_facility_id_1_current_state_id,43 8 2
single_mode_11_facility_lv_up,single_mode_11_facility_lv_up_0_facility_id,43 8
single_mode_10_lottery_turn,,11
single_mode_10_9048_bonus,,8
single_mode_arc_potential_bonus,single_mode_arc_potential_bonus_0_potential_id_1_potential_lv,19 2 1
single_mode_arc_potential_bonus,single_mode_arc_potential_bonus_0_potential_id,19 2
race_trophy,race_trophy_0_race_instance_id,639 1
race_trophy,race_trophy_0_trophy_id,639 2
gacha_group,gacha_group_0_group_id,46 8
gacha_group,gacha_group_0_target_gacha_id,46 1
collect_raid_top_data,collect_raid_top_data_0_collect_raid_id,15 4
crane_game_hidden_odds,,33
team_stadium_class_reward,team_stadium_class_reward_0_team_stadium_id_1_class_reward_type,34 34 9
omakase_modify_legend,,57
omakase_filter,omakase_filter_0_scenario_id,73 13
single_mode_cook_power_data,,5
single_mode_live_master_bonus,,133
single_mode_npc,single_mode_npc_0_npc_group_id,3810 174
home_prop_setting,sqlite_autoindex_home_prop_setting_1,20 5 1
heroes_race_condition,heroes_race_condition_0_heroes_id,45 3
collect_raid_segment_cutt,,3
collect_raid_mission_top_chara,collect_raid_mission_top_chara_0_mission_top_chara_group_id,4 4
campaign_sp_present_bonus_data,campaign_sp_present_bonus_data_0_target_type_1_card_id,243 243 1
campaign_sp_present_bonus_data,campaign_sp_present_bonus_data_0_card_id,243 1
single_mode_12_dig_bonus,single_mode_12_dig_bonus_0_stratum_id,504 30
omakase_state,omakase_state_0_scenario_id,36 6
subscription_effect,subscription_effect_0_target_type,9 2
race_condition,race_condition_0_ground_1_weather,113 29 12
race_condition,race_condition_0_weather_1_ground,113 29 12
race_condition,race_condition_0_season_1_weather,113 23 8
race_condition,race_condition_0_season_1_ground,113 23 6
login_bonus_detail,login_bonus_detail_0_login_bonus_id,578 3
login_bonus_detail,sqlite_autoindex_login_bonus_detail_1,578 3 1
live_permission_data,live_permission_data_0_music_id,1527 31
live_permission_data,sqlite_autoindex_live_permission_data_1,1527 31 1
item_exchange,item_exchange_0_pay_item_id,7261 137
item_exchange,item_exchange_0_condition_type,7261 1816
item_exchange,item_exchange_0_item_exchange_top_id,7261 78
collect_raid_all_reward,collect_raid_all_reward_0_all_reward_set_id,41 11
ultimate_race_select_top,ultimate_race_select_top_0_group_id,43 1
transfer_rotation_schedule,,2
event_motion_data,event_motion_data_0_type,2190 1095
event_motion_data,sqlite_autoindex_event_motion_data_1,2190 1
single_mode_free_shop,,11
single_mode_difficulty_box,single_mode_difficulty_box_0_box_step,5 3
